Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Area_Suburban,Area_Urban,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
0,44,61478.9,1,13.91858,15,0,1,0,0,0,1,0,0,0,1,0,0,1,0,28.22989,3068.956506,4,4,5,4,4,3,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,54,44711.74,1,11.79632,13,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6.307859,862.6906733,4,4,4,3,5,4,3,6,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
2,85,40133.04,1,14.95030399,8,3,1,1,0,1,1,1,0,1,0,1,1,1,0,6.195470215,1124.637958,2,2,3,3,5,1,1,2,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0
2,70,37535.82,1,11.74644,11,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1.862828,553.0231321,4,4,4,4,3,4,4,2,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0
4,18,70844.17,1,9.367555,12,0,1,0,0,0,1,1,0,0,0,0,1,0,1,8.27839,1169.714886,3,2,4,4,4,2,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7,18,57469.38,0,13.72489,12,0,1,0,1,0,0,0,0,0,1,1,0,1,1,62.10568,6149.726033,5,4,4,3,3,3,3,6,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,42,11472.98,0,8.031817,13,1,0,0,0,1,1,0,1,0,0,0,1,0,1,66.68553,5748.620529,3,3,4,4,2,3,3,3,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0
3,62,17495.04,0,11.71658,10,1,1,1,1,0,0,0,0,0,0,0,1,1,1,55.55389,5104.889837,3,4,3,1,5,3,3,3,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
1,23,1817.99,1,9.617616,15,1,0,0,1,0,0,1,1,1,0,1,0,0,0,8.915226,1586.632329,4,4,3,4,2,5,5,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,21,49614.23,0,6.244054,11,2,1,0,1,0,1,1,0,0,0,1,0,0,1,3.033303,911.2594992,3,3,4,3,4,3,4,2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
4,31,15481.45,0,7.750073,15,0,0,0,0,1,1,1,0,1,0,1,0,1,0,71.32292,6768.49967,5,5,6,3,3,5,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,38,66409.47,1,7.716619,9,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1.865935,514.9287886,3,4,4,3,3,4,5,4,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
2,70,6119.53,1,9.411397,6,3,1,0,1,0,1,0,0,0,0,0,1,0,0,1.31809,295.3935883,2,3,3,4,1,4,5,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,20,99100.1,1,9.908849616,5,0,0,0,0,1,1,0,0,1,0,1,1,1,0,9.26064585,1821.82345,3,4,3,4,5,3,3,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
7,18,28911.74,1,7.731174,16,2,0,0,0,0,1,0,0,1,0,0,1,1,1,7.146126,1413.736327,4,3,4,4,2,4,6,4,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
3,35,25653.34,0,8.759585,13,0,0,1,1,0,1,0,0,1,0,0,1,1,1,40.14232,4024.612201,4,2,2,2,4,3,3,3,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
0,27,29935.05,0,9.663191,7,2,0,0,1,1,1,0,0,0,0,0,0,0,1,59.52332,5443.98404,2,3,2,2,4,4,4,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2,73,8091.21,0,9.335603,13,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2.924951,468.5975061,3,4,3,3,3,3,3,3,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
1,63,23662.64,0,4.615568,9,0,0,0,1,1,1,1,0,1,1,1,0,0,0,48.57121,4218.975069,2,2,2,4,4,1,2,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1,77,65565.99,0,7.291285,11,4,0,0,1,1,0,1,0,1,1,0,0,0,0,47.45044,4486.582949,3,3,3,4,4,2,2,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
2,45,31766.78,1,14.18102134,16,0,1,0,1,1,1,1,0,1,1,0,0,1,1,2.389328443,762.3743815,4,4,3,1,3,2,2,4,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
4,81,38866.92,1,12.19296315,10,1,1,0,0,0,1,0,0,1,1,0,1,1,0,4.806882153,1047.361909,3,4,3,3,3,2,3,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
4,80,46786.18,0,10.0934549,11,1,1,0,1,0,1,1,0,0,0,0,0,0,1,3.613513424,470.682278,3,4,4,4,4,5,4,4,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
4,75,17766.54,0,9.481086,10,0,0,0,1,0,1,0,1,1,0,0,1,1,0,53.06256,5011.057255,4,5,3,3,4,3,3,5,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
0,86,40316.05,0,15.35399,10,2,0,1,0,0,1,0,0,1,1,1,1,0,1,3.628867,601.2192303,4,4,4,4,2,5,5,3,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
4,82,76066.77,0,15.27146446,12,2,1,0,0,0,1,0,0,1,1,0,1,0,0,18.35541838,1939.811149,3,3,4,4,4,3,5,5,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
0,66,83878.86,0,11.05579,13,2,0,1,0,0,0,0,0,0,1,0,1,0,0,66.8244,5746.58453,4,4,4,3,3,4,4,4,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0
1,88,30819.18,0,9.525285,14,0,3,1,1,0,1,1,0,0,0,0,0,0,1,69.87194,6112.379667,3,5,3,4,3,5,4,5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,45,35183.0,0,15.54947,17,1,0,0,0,0,1,1,0,1,1,1,1,0,1,56.00686,5099.333841,3,3,4,4,3,4,4,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
0,53,26092.38,0,13.70512,11,1,0,0,1,0,1,0,0,1,1,0,0,0,1,8.931572,979.002185,3,4,2,2,5,2,2,3,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
3,37,39369.75,1,10.85287,15,3,0,0,1,0,1,1,0,0,0,1,1,0,1,11.16386,1317.388693,4,3,3,4,3,3,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
4,25,50670.27,1,12.69180844,13,1,0,0,0,0,1,0,1,1,0,0,1,0,0,20.96092159,2743.734408,4,4,4,3,5,3,4,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
7,71,3360.57,1,10.40927,13,1,0,1,0,0,1,1,0,1,0,0,1,1,1,16.53338,2120.151113,4,5,3,2,5,2,1,2,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
0,84,17260.93,0,10.47784,12,0,1,0,1,0,1,1,0,1,1,0,0,0,1,38.58318,3296.618156,5,4,4,3,5,4,3,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,38,26986.49,1,11.34716,15,0,0,1,1,0,1,1,1,0,0,0,0,0,0,11.59206,1627.688937,3,3,4,4,4,4,3,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0,36,21092.07,1,5.676999,13,2,0,0,0,0,1,0,0,0,1,1,1,1,1,6.999666,1161.766944,5,4,4,3,3,4,4,4,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
5,45,49397.39,0,11.74755,11,0,1,0,0,0,1,0,1,0,0,1,0,0,1,55.34066,4862.205431,2,3,2,5,3,3,3,3,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1,38,52374.17,0,12.83511,14,2,1,0,0,0,1,1,0,0,1,0,1,1,1,6.652608,1225.184798,3,3,3,4,4,3,1,4,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
1,68,67871.48,0,5.625045,13,0,0,0,1,0,1,1,1,1,1,1,0,0,0,56.74758,4947.739322,3,4,5,4,3,3,2,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
9,47,31344.35,0,13.87639,12,2,0,0,1,0,1,0,1,1,1,0,0,1,0,69.5048,6391.573253,4,3,4,3,4,2,2,4,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
0,87,4523.8,0,13.69110294,11,1,0,0,0,0,1,0,0,1,1,0,0,0,1,15.59096202,1826.678884,4,3,3,3,5,3,2,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
0,52,110391.6,0,5.193206,14,2,0,0,1,0,1,1,0,1,0,1,0,0,0,66.30503,5674.466677,4,4,3,4,2,4,4,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
7,36,12145.97,1,7.275899757,15,1,0,0,0,0,1,1,0,0,0,0,1,1,1,12.84120976,1885.438773,4,3,4,5,3,5,4,6,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2,78,65564.74,1,6.33742,11,0,1,1,1,0,1,0,0,1,0,0,1,1,1,13.21733,1599.616413,3,4,4,4,3,4,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1,34,18762.01,1,12.017333,14,0,1,0,1,0,1,0,1,1,0,1,1,1,0,5.261212465,1101.650764,4,3,4,6,4,4,4,6,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
3,26,113438.3,1,5.050186,12,2,0,1,1,1,1,1,0,1,1,0,0,0,0,6.981941,1403.290023,4,4,4,3,4,3,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,39,119599.4,0,4.876124,9,2,0,1,1,0,1,0,1,1,1,0,0,1,0,38.92029,3747.78242,2,3,3,4,3,3,4,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
4,85,51630.71,0,4.452995,9,2,1,0,0,0,1,1,1,0,0,1,1,1,1,41.36314,4048.983361,3,4,3,3,3,4,4,4,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0
4,22,26278.08,0,11.43714,11,2,1,0,0,0,1,1,0,0,0,1,1,0,0,40.35276,3836.081698,4,4,4,4,3,2,4,4,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1
0,24,41699.57,0,7.956304,14,1,0,0,1,0,1,1,0,0,0,0,0,0,0,49.94733,4741.134235,4,3,3,4,4,4,3,4,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
4,23,44610.48,0,8.965640601,14,0,1,1,1,1,1,0,0,1,1,1,0,1,0,16.15614223,1956.469091,3,4,5,3,2,3,5,5,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0
2,66,66778.9,0,15.95744,11,3,2,0,0,0,1,0,1,1,0,0,1,1,0,70.79968,6845.831296,3,4,4,4,3,4,2,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,77,12558.83,1,9.767668044,12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4.157658837,774.2937069,4,4,4,4,2,4,5,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,89,13219.33,0,5.341231,10,1,0,0,1,0,1,1,0,0,1,1,1,1,1,49.61909,4629.932238,3,4,3,4,3,3,2,3,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
1,23,8626.93,0,13.16243,10,1,0,0,1,0,1,1,1,0,0,0,1,0,0,8.333131,1187.710162,3,2,3,4,5,3,4,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4,24,29303.95,0,3.929938,14,2,0,0,0,0,1,1,1,1,0,0,1,0,1,5.648594,1564.304827,3,2,2,3,5,2,1,3,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
0,38,31980.81,0,12.236238,11,1,0,0,1,1,1,0,1,1,1,0,0,1,1,2.685677496,669.0040793,4,2,4,3,3,2,4,3,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
3,66,23005.6,0,12.13544,13,0,1,0,1,0,1,0,0,1,0,1,0,1,1,64.2738,6055.708509,3,2,3,3,4,3,4,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
4,47,16834.95,0,7.739197,12,2,1,0,0,0,1,1,0,1,1,0,0,0,0,66.49538,5910.417848,3,3,3,4,5,3,3,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
2,71,20191.76,1,9.741346714,13,0,1,0,1,1,1,1,0,0,0,0,1,1,1,2.566196093,774.8506663,4,4,4,3,4,5,4,4,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
6,84,32666.7,0,9.020394,12,2,0,0,1,1,1,0,0,0,0,0,0,0,1,59.33259,4930.400921,3,4,3,2,4,3,3,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
6,49,48414.97,0,12.9317,15,1,0,0,1,1,1,1,1,0,1,0,0,0,1,17.84058,2373.467756,3,2,2,4,2,3,3,5,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
2,37,19872.48,1,9.445157,12,3,0,0,1,0,1,0,0,1,1,1,1,1,1,56.31481,5401.877883,3,3,2,4,4,3,4,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10,19,23299.98,0,10.09307939,16,1,1,0,1,1,1,0,0,0,1,1,1,0,1,23.956929,2653.32821,3,3,3,4,2,4,5,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2,74,57552.27,0,13.07187,8,0,2,0,1,1,1,1,1,1,0,0,0,1,1,23.08359,2352.994051,4,5,3,2,4,3,2,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1,52,76765.17,0,10.32391,16,0,0,0,0,1,1,0,0,0,0,1,0,1,0,10.35635,1114.676099,4,3,3,4,2,4,4,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
3,82,42113.14,0,13.50203,13,2,2,1,1,0,1,0,0,0,1,1,0,0,1,66.65664,5616.475997,4,3,3,3,3,5,3,3,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
0,33,49464.15,0,6.32828,11,1,0,0,0,1,1,1,0,0,1,0,0,1,1,64.59012,6073.965344,4,3,3,4,4,4,4,4,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
4,39,43769.45,1,10.21531,14,0,0,0,1,0,1,1,0,1,1,0,1,0,0,18.07558,2082.760575,4,3,4,4,3,3,3,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2,65,42345.21,0,11.69747,15,1,0,0,1,0,1,1,0,0,1,0,0,1,1,70.56628,6520.292051,3,2,3,4,3,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,63,25985.06,0,9.497106973,11,1,0,0,0,1,1,0,1,0,0,0,0,1,0,18.17247008,1707.641161,3,3,3,4,4,4,3,4,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1
1,55,10941.91,0,15.24882,20,0,0,0,1,0,1,1,0,0,1,1,0,1,1,69.32507,6093.707012,3,3,3,4,4,3,3,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
0,65,28056.39,1,7.637291768,12,2,0,0,0,0,1,0,0,0,0,1,1,1,1,19.76529476,2441.022927,4,4,3,5,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,72,50336.5,0,7.972937227,10,1,1,0,1,0,1,0,0,1,1,0,0,0,0,16.04202196,1530.10769,3,4,3,6,4,4,6,2,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0
1,18,34786.58,0,10.76073,15,1,0,0,1,1,1,1,1,1,0,1,0,0,1,49.26311,4826.758437,2,2,3,5,2,3,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
6,74,72862.83,0,13.29232,14,0,1,0,1,0,1,0,0,0,1,1,1,0,0,5.317775,822.6124438,3,3,2,2,5,4,4,4,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0
2,65,64281.28,0,5.201543,9,0,1,0,1,1,1,1,0,0,1,0,0,0,1,63.47674,5861.996544,3,3,3,4,4,3,3,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
4,77,44323.22,0,13.18074,11,1,0,0,0,0,1,0,0,1,1,0,0,1,1,69.96694,6101.954062,3,3,3,2,5,1,3,4,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,26,41879.1,0,12.29165611,11,0,1,0,1,0,1,0,0,0,0,0,1,0,0,12.75609778,1775.838153,3,3,3,3,4,3,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,26,14345.87,0,7.484153,11,0,1,0,0,1,1,0,0,1,0,0,1,0,0,21.52164,2150.01852,4,3,4,4,3,3,4,3,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0
0,31,37772.16,0,13.09411393,16,0,1,0,1,1,1,1,0,0,1,0,0,0,0,8.458573247,908.0504522,4,4,4,2,4,3,4,4,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
1,86,26071.16,1,7.630385,12,1,1,0,1,0,1,0,0,0,1,0,1,1,0,6.081227,1409.589822,2,2,2,3,4,3,4,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
0,28,18305.22,0,9.316164,11,3,0,0,0,0,1,1,1,0,0,0,0,1,1,61.45615,5823.6249,5,4,4,3,6,6,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,23,132116.33,1,12.50184778,11,1,0,0,1,0,1,0,1,1,0,1,0,1,1,22.25746016,2384.885909,4,4,5,2,2,4,3,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,82,102504.9,0,9.470361,17,3,0,0,1,0,1,0,0,0,1,1,1,0,0,64.63983,5994.514316,5,5,4,4,2,4,5,5,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
8,24,14083.69,0,12.19579,15,1,0,0,1,0,1,0,0,1,1,1,1,0,0,66.89524,6234.682273,4,4,5,3,4,2,5,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3,39,6536.16,0,12.67033,10,1,0,0,0,0,1,0,0,0,1,0,0,1,1,62.04916,5866.495925,4,4,6,3,5,4,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,27,8764.63,0,12.34578,14,1,1,0,0,0,1,1,1,0,0,0,1,1,1,26.91021,2911.171492,5,5,4,4,3,4,5,5,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
4,58,55582.0,1,7.601803,12,3,0,0,1,0,1,1,1,1,1,1,0,1,0,11.42464,1518.895794,4,3,4,3,3,4,3,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,62,161251.0,1,10.05354,14,2,0,0,0,0,1,1,1,0,0,1,1,1,1,56.32645,5640.808851,3,3,5,4,1,5,1,2,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
8,26,58434.6,0,6.928805,10,1,0,0,0,0,0,0,0,0,1,1,1,0,1,63.96748,5847.186613,6,7,5,1,5,3,3,5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
2,81,21145.92,0,12.02273,13,1,2,1,0,0,1,0,1,1,1,0,0,0,0,71.93174,6599.564823,3,4,4,3,4,4,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1,78,83983.27,1,5.982841,12,0,1,1,0,1,1,0,0,1,0,1,1,1,1,40.21109,3784.965371,3,2,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
9,29,52658.25,0,11.97729,12,1,0,0,1,1,1,1,0,1,0,1,0,0,1,65.48954,6287.497445,3,3,3,2,4,3,2,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,35,1772.89,0,3.090771,6,1,0,0,1,0,1,1,0,0,1,1,1,0,0,47.03744,4839.828588,3,3,3,4,3,3,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,24,75458.79,0,9.531063533,10,1,0,0,1,0,1,1,1,0,0,0,0,0,1,14.86764776,1446.203986,5,5,5,2,3,3,4,5,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
1,29,21897.41,1,13.1215267,10,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1.171557288,544.12326,2,3,4,5,2,5,5,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,48,24892.78,0,8.546096292,17,0,1,0,0,0,0,1,0,0,1,1,1,0,0,2.849622074,592.8646912,4,3,4,2,4,6,4,5,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1,31,11332.09,1,6.827972,11,1,0,0,0,1,1,0,0,0,0,0,1,1,1,12.82008,1643.441405,2,3,3,5,2,5,4,4,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
1,40,57025.5,1,11.24987,16,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1.453865,928.6314289,3,4,4,3,5,2,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,78,13172.44,0,3.191798,11,0,2,0,1,1,1,0,1,1,1,1,0,0,0,50.73425,4815.278288,3,3,3,3,3,3,3,4,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1,20,17163.24,0,7.175714,14,1,1,1,0,1,1,0,1,0,1,1,0,1,1,62.32519,5555.86987,5,5,5,3,4,3,4,5,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
0,33,51477.31,0,9.312883,13,0,1,0,0,0,1,1,1,0,1,1,0,1,0,60.0122,5447.179024,3,4,5,2,4,4,4,3,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,45,38444.93,1,11.81019,13,0,1,0,0,0,1,1,1,1,1,0,1,1,1,66.78494,6681.250538,1,2,2,5,2,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,81,62613.43,0,11.44144,13,1,1,0,1,0,1,0,0,1,0,0,0,0,1,64.00973,5499.748153,4,4,3,4,4,4,2,3,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0
1,58,31973.73,0,10.86371,12,0,1,0,0,1,1,0,1,1,0,1,1,0,1,60.95034,5824.155057,4,3,4,6,3,4,3,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
4,38,62731.56,0,10.75982,13,0,0,1,1,0,1,0,0,1,0,0,1,1,0,40.41527,4067.92605,4,5,5,3,5,4,4,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
2,30,28600.78,0,11.67122,12,2,0,0,1,0,1,1,0,1,1,0,1,0,1,21.53238,2380.995294,3,2,3,5,4,5,3,5,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
3,60,81905.71,0,10.29324,16,0,1,0,1,0,1,1,0,1,1,0,0,0,0,6.523366,840.7473935,3,3,3,3,4,2,4,4,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
